"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"244","157_2015c",0,0,17115,0,0,0,0,0,1,0,17115
"245","252_2019",0,0,0,17069,0,0,0,0,0,1,17069
"246","9_2019",300,0,0,16753,0,0,0.0175922125139272,0,0,0.982407787486073,17053
"247","131_2018",0,0,183,16857,0,0,0,0,0.0107394366197183,0.989260563380282,17040
"248","314_1088_2016b",1277,0,0,15743,0,0,0.0750293772032902,0,0,0.92497062279671,17020
"249","145_2018",293,0,0,16714,0,0,0.0172282001528782,0,0,0.982771799847122,17007
"250","389_2014",0,0,0,16981,0,0,0,0,0,1,16981
"251","125_2018",0,0,0,16966,0,0,0,0,0,1,16966
"252","117_2018",2873,0,0,13846,0,0,0.171840421077816,0,0,0.828159578922184,16719
"253","231_2015c",0,0,16715,0,0,0,0,0,1,0,16715
"254","249_2018",0,0,0,16700,0,0,0,0,0,1,16700
"255","99_2015b",0,0,16635,0,0,0,0,0,1,0,16635
"256","936_2016b",351,0,0,16280,0,0,0.0211051650532139,0,0,0.978894834946786,16631
"257","50_2018",0,0,0,16616,0,0,0,0,0,1,16616
"258","482_2015c",0,0,0,16588,0,0,0,0,0,1,16588
"259","305_2019",0,0,0,16542,0,0,0,0,0,1,16542
"260","807_2015c",0,0,16503,0,0,0,0,0,1,0,16503
"261","71_2018",0,0,0,16500,0,0,0,0,0,1,16500
"262","99_2016b",2967,0,0,13528,0,0,0.179872688693544,0,0,0.820127311306457,16495
"263","844_2016b",0,0,9063,7340,0,0,0,0,0.552520880326769,0.447479119673231,16403
"264","80_2018",0,0,7866,8527,0,0,0,0,0.479838955651803,0.520161044348197,16393
"265","233_2018",0,0,0,16356,0,0,0,0,0,1,16356
"266","1068_2016b",6430,0,0,9844,0,0,0.395108762443161,0,0,0.604891237556839,16274
"267","122_2018",0,0,0,16256,0,0,0,0,0,1,16256
"268","466_2015c",1104,0,0,15137,0,0,0.0679761098454529,0,0,0.932023890154547,16241
"269","253_2015b",0,0,16102,0,0,0,0,0,1,0,16102
"270","35_2018",509,0,0,15560,0,0,0.0316758976912067,0,0,0.968324102308793,16069
"271","170_2018",1771,0,0,14289,0,0,0.11027397260274,0,0,0.88972602739726,16060
