SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
94	KI15bFSYM065	435	coral	KI2015b	Favites_pentagona	30	gone	2015May.tag.435	2015May	13.579	10.372	106.858	n	n	n	y	y	n	NONE	y	y	y	y	1	small bleached patches covering large portion of coral
95	KI15cFSYM345	435	coral	KI2015c	Favites_pentagona	30	gone	2015July.tag.435	2015July	16.133	14.095	161.321	n	y	n	y	y	n	NONE	n	y	y	y	1	A few small patches
96	KI14FSYM439	439	coral	KI2014	Favites_pentagona	30	alive	2014.tag.439	2014	31.186	26.503	535.478	n	n	n	y	y	y	Peysson_red	y	y	y	y	1	patches on the uppermost surfaces are bleaching, <5cm
97	KI15bFSYM068	439	coral	KI2015b	Favites_pentagona	30	alive	2015May.tag.439	2015May	30.491	22.951	401.355	n	n	n	y	y	n	NONE	y	y	y	n	NONE	WRONG PHOTO
98	KI15cFSYM350	439	coral	KI2015c	Favites_pentagona	30	alive	2015July.tag.439	2015July	26.136	24.684	598.016	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
99	KI16aFSYM086	439	coral	KI2016a	Favites_pentagona	30	alive	2016March.tag.439	2016March	38.949	33.088	874.3	n	n	n	y	y	n	NONE	n	y	y	y	2	much of coral bleaching in patches
100	KI14FSYM442	442	coral	KI2014	Platygyra_sp	30	gone	2014.tag.442	2014	20.111	19.806	298.19	n	n	n	y	y	n	NONE	y	y	y	y	2	many small bleached patches, 1 larger patch > 5 cm
101	KI15bFSYM069	442	coral	KI2015b	Platygyra_sp	30	gone	2015May.tag.442	2015May	32.314	13.891	269.395	n	n	n	y	y	y	Peysson_red	y	y	y	y	1	bleached patches near algal clumps * check measurement
102	KI15cFSYM348	442	coral	KI2015c	Platygyra_sp	30	gone	2015July.tag.442	2015July	43.754	18.796	564.161	n	y	n	y	y	n	NONE	n	n	y	y	1	Many small patches
103	KI14FSYM447	447	coral	KI2014	Platygyra_sp	27	UK	2014.tag.447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104	KI14FSYM449	449	coral	KI2014	Favites_pentagona	27	UK	2014.tag.449	2014	13.747	11.522	125.113	n	n	n	y	y	n	NONE	n	y	n	y	1	areas of the coral are paling, a few small bleached spots 
105	KI14FSYM454	454	coral	KI2014	Favites_pentagona	27	UK	2014.tag.454	2014	17.157	16.183	206.402	n	n	n	y	y	n	NONE	n	y	n	n	NONE	areas are plaing 
106	KI14FSYM455	455	coral	KI2014	Platygyra_sp	27	UK	2014.tag.455	2014	9.97	9.416	72.705	n	n	n	y	y	n	NONE	n	y	n	y	2	ridges are severely bleaching over most of coral, middle parts are still dark
107	KI15aFSYM160	455	coral	KI2015a	Platygyra_sp	27	UK	2015Jan_Post.tag.455	2015Jan_Post	7.511	6.693	37.402	n	n	n	y	y	n	NONE	n	y	n	y	1	patches where ridges are severely bleaching, less than 5cm (picutre is a bit overexposed). 
108	KI14FSYM461	461	coral	KI2014	Platygyra_sp	27	UK	2014.tag.461	2014	10.165	8.573	64.813	n	n	n	y	y	n	NONE	n	y	y	y	1	patchy bleaching where tops of ridges are bleaching
109	KI14FSYM466	466	coral	KI2014	Platygyra_sp	27	dead	2014.tag.466	2014	9.216	7.113	161.831	n	n	n	y	y	y	peysson_brown	n	y	n	y	2	ridges are bleaching over most of coral (platygyra) 
110	KI15aFSYM156	466	coral	KI2015a	Platygyra_sp	27	dead	2015Jan_Post.tag.466	2015Jan_Post	8.509	7.238	47.758	n	n	n	y	y	n	NONE	n	y	n	y	1	one patch where tops of ridges are severely bleaching or starting to bleach
111	KI15bFSYM140	466	coral	KI2015b	Platygyra_sp	27	dead	2015May.tag.466	2015May	12.456	10.338	96.233	n	n	n	y	y	n	NONE	n	y	y	y	3	>80% of coral bleaching
112	KI15cFSYM064	466	coral	KI2015c	Platygyra_sp	27	dead	2015July.tag.466	2015July	8.79	8.775	63.406	n	n	n	y	y	n	NONE	n	y	n	y	2	one pactch >5cm
