"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"78","KI2015c.tag379","KI15cFSYM404","379","coral","KI2015c","Platygyra_sp",25,"UK","KI2015c","25","379","","HD","29-10-2015","18.846","14.525","218.027","n","n","n","y","y","y","Caulerpa, Peysson_red","y","n","y","y","2","Top very bleached","","KI2015c","KI15cFMD404","KIPlaty_plate5_data.txt",24.97305,26.2013,18.48945,NA,1.99821305295507,2.35565553084487,0.193393704654522,NA,2,2,2,0,0.00269955921364208,0.00576133024517883,FALSE,0.00846088945882092,"379","KI2015c",404,NA,0.00846088945882092
"84","KI2014.tag389","KI14FSYM389","389","coral","KI2014","Platygyra_sp",30,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","KI2015b.tag389","KI15bFSYM131","389","coral","KI2015b","Platygyra_sp",30,"UK","KI2015b","30","389","","JM","2/6/2016","14.989","12.397","145.45","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","KI15bFMD131","KIPlaty_plate2_data.txt",27.0357,24.6196,19.1089,NA,0.17649385258416,0.218071731317933,0.60542482605192,NA,2,2,2,0,0.00099276479552304,0.0264932321518197,FALSE,0.0274859969473428,"389","KI2015b",131,NA,0.0274859969473428
"88","KI2014.tag402","KI14FSYM402","402","coral","KI2014","Platygyra_sp",25,"UK","KI2014","25","402","","JL","18-02-2016","29.981","17.196","301.09","n","n","n","y","y","n","NONE","y","y","y","n","NONE ","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","KI2015c.tag402","KI15cFSYM415","402","coral","KI2015c","Platygyra_sp",25,"UK","KI2015c","25","402","","JL","30-10-2015","31.983","21.843","344.151","n","n","n","y","y","n","NONE","y","y","y","y","2","one large patch (>5cm) and one small patch ","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","KI2014.tag410","KI14FSYM410","410","coral","KI2014","Platygyra_sp",25,"UK","KI2014","25","410","","JL","19-02-2016","25.965","23.755","413.118","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","KI2014.tag442","KI14FSYM442","442","coral","KI2014","Platygyra_sp",30,"gone","KI2014","30","442","","HD","8/3/2016","20.111","19.806","298.19","n","n","n","y","y","n","NONE","y","y","y","y","2","many small bleached patches, 1 larger patch > 5 cm","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","KI2015b.tag442","KI15bFSYM069","442","coral","KI2015b","Platygyra_sp",30,"gone","KI2015b","30","442","","NO","23-03-2017","18.966","16.36","231.51","n","n","n","y","y","y","Peysson_red","y","y","y","y","1","bleached patches near algal clumps ","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","KI2015c.tag442","KI15cFSYM348","442","coral","KI2015c","Platygyra_sp",30,"gone","KI2015c","30","442","","HD","5/11/2015","43.754","18.796","564.161","n","y","n","y","y","n","NONE","n","n","y","y","1","Many small patches","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","KI2014.tag447","KI14FSYM447","447","coral","KI2014","Platygyra_sp",27,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","KI2014.tag455","KI14FSYM455","455","coral","KI2014","Platygyra_sp",27,"UK","KI2014","27","455","","JL","18-03-2016","9.97","9.416","72.705","n","n","n","y","y","n","NONE","n","y","n","y","2","ridges are severely bleaching over most of coral, middle parts are still dark","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","KI2015a_Post.tag455","KI15aFSYM160","455","coral","KI2015a_Post","Platygyra_sp",27,"UK","KI2015a","27","455","_Post","JL","23-03-2016","7.511","6.693","37.402","n","n","n","y","y","n","NONE","n","y","n","y","1","patches where ridges are severely bleaching, less than 5cm (picutre is a bit overexposed). ","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","KI2014.tag461","KI14FSYM461","461","coral","KI2014","Platygyra_sp",27,"UK","KI2014","27","461","","JL","18-03-2016","10.165","8.573","64.813","n","n","n","y","y","n","NONE","n","y","y","y","1","patchy bleaching where tops of ridges are bleaching","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
