"","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","ref","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","C.reps","D.reps","PaxC.reps","C.PaxC","D.PaxC","fail","S.H","Sample.Num","Pre.Post","dom","S.H.log","C.PaxC.log","D.PaxC.log","CtoD","S.H.log10","C.PaxC.log10","D.PaxC.log10","bleaching2Plus"
"294","KI16bFMD002","99","coral","KI2016b","Platygyra_sp","35","alive","KI2016b.tag99","recovery1","NO","19/01/2017","20.643","20.618","270.926","n","n","n","y","y","y","Peysson_red, peysson_yellow","y","y","n","y","FALSE","several small spots of borderline lightening/bleaching","","KI2016b","KI16bFMD002","KIPlaty_plate2_data.txt",NA,23.01565,20.6846,NA,0.0297691954879546,0.36896831842314,0,2,2,0,0.240051802198363,FALSE,0.240051802198363,2,NA,"D",-1.42690053643761,-16.6111407886174,-1.42690028200768,11.6414167115064,-0.619695029199642,-7.21412678261458,-0.619694918702129,"FALSE"
"295","KI16bFMD180","328","coral","KI2016b","Platygyra_sp","34","alive","KI2016b.tag328","recovery1","NO","19/01/2017","23.025","19.65","227.407","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","one small patch","","KI2016b","KI16bFMD180","KIPlaty_plate8_data.txt",28.8866,23.3145,17.8793,0.495823274968007,0.271670425331871,0.101399112422151,2,2,2,0.000117360909534677,0.0279166119492807,FALSE,0.0280339728588154,180,NA,"D",-3.57433818789415,-9.04973639463973,-3.57853116916059,2.52889690402292,-1.5523153514585,-3.93025057887106,-1.55413634008524,"FALSE"
"296","KI16bFMD109","594","coral","KI2016b","Platygyra_sp","15","alive","KI2016b.tag594","recovery1","NO","20-01-2017","16.106","9.383","98.081","n","n","n","y","y","y","Peysson_red, peysson_yellow","n","y","n","y","2","5cm scale used, large area bleaching","","KI2016b","KI16bFMD109","KIPlaty_plate8_data.txt",24.6821,NA,18.0736,0.26177093039526,NA,0.417758686325013,2,0,2,0.00247567830877709,0,FALSE,0.00247567830877709,109,NA,"C",-6.00124085635784,-6.00121618610226,-16.6111407886174,0.361276583135971,-2.60630578848856,-2.60629507433269,-7.21412678261458,"2"
"297","KI16bFMD106","612","coral","KI2016b","Platygyra_sp","15","alive","KI2016b.tag612","recovery1","NO","20-01-2017","25.427","20.743","440.223","n","n","n","y","y","y","Peysson_red","y","y","n","y","2","large areas bleaching","","KI2016b","KI16bFMD106","KIPlaty_plate11_data.txt",NA,24.62705,18.2736,NA,0.313036172031286,0.402909443920093,0,2,2,0,0.0147720890232815,FALSE,0.0147720890232815,106,NA,"D",-4.21501575552193,-16.6111407886174,-4.21501162095141,3.9409478033344,-1.83055808375844,-7.21412678261458,-1.83055628813728,"2"
"299","KI16bFMD025","754_899_1060","coral","KI2016b","Platygyra_sp","32","alive","KI2016b.tag754_899_1060","recovery1","NO","2/3/2017","12.687","7.195","79.496","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","small patch of bleaching . 3cm scale used","","KI2016b","KI16bFMD025","KIPlaty_plate2_data.txt",NA,23.36845,18.2763,NA,0.0621546860662984,0.0810344371239779,0,2,2,0,0.0354104177050789,FALSE,0.0354104177050789,25,NA,"D",-3.34074921668167,-16.6111407886174,-3.34074749186956,4.97228264903117,-1.45086895022746,-7.21412678261458,-1.45086820115108,"FALSE"
"300","KI16bFMD176","783","coral","KI2016b","Platygyra_sp","34","alive","KI2016b.tag783","recovery1","NO","20-01-2017","26.089","25.113","417.391","n","n","n","y","y","y","Peysson_yellow","n","y","n","n","FALSE","","","KI2016b","KI16bFMD176","KIPlaty_plate8_data.txt",NA,22.38795,17.79275,NA,0.0178898015640207,0.213192694527745,0,2,2,0,0.0499721351799471,FALSE,0.0499721351799471,176,NA,"D",-2.99628972530241,-16.6111407886174,-2.99628850309462,5.54390565910497,-1.30127209388225,-7.21412678261458,-1.30127156308415,"FALSE"
"302","KI16bFMD031","788","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag788","recovery1","NO","12/1/2017","42.901","28.468","806.642","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","small patches around algae","","KI2016b","KI16bFMD031","KIPlaty_plate7_data.txt",34.23825,22.80565,18.2004,3.16762624768138,0.456437427255915,0.0461033621333635,2,2,2,3.59068263910878e-06,0.0496252325188669,FALSE,0.049628823201506,31,NA,"D",-3.0031835010984,-12.5203015861524,-3.00325462371547,4.16891111638844,-1.30426602266993,-5.43749789063052,-1.30429691083006,"FALSE"
"303","KI16bFMD032","792","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag792","recovery1","NO","2/2/2017","24.242","24.174","413.659","n","n","y","y","y","n","NONE","y","y","n","y","FALSE","several small areas of bleaching, 3cm scale used","","KI2016b","KI16bFMD032","KIPlaty_plate1_data.txt",38.1928,23.57355,20.67225,NA,0.0412243253431751,0.365503495195329,1,2,2,0,0.161674905500597,FALSE,0.161674905500597,32,NA,"D",-1.82216771615191,-16.6111407886174,-1.82216733837926,9.11614451578984,-0.791357384227027,-7.21412678261458,-0.791357220162447,"FALSE"
"305","KI16bFMD034","797","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag797","recovery1","NO","2/2/2017","19.42","14.508","118.382","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","two small spots of bleaching, 3cm scale used","","KI2016b","KI16bFMD034","KIPlaty_plate7_data.txt",30.82885,23.21615,18.83905,2.8564992639593,0.231577470838595,0.0313248304065639,2,2,2,5.93965877159559e-05,0.0581276209067548,FALSE,0.0581870174944707,34,NA,"D",-2.84409301623323,-9.73024602663598,-2.84511327449395,3.41998545852859,-1.23517390296967,-4.22579215692905,-1.23561699550242,"FALSE"
"306","KI16bFMD039","807","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag807","recovery1","NO","2/2/2017","68.34","47.346","2387.828","n","n","n","y","y","y","Halimeda, peysson_yellow","y","y","n","y","FALSE","2 areas of bleaching, 3cm scale used","","KI2016b","KI16bFMD039","KIPlaty_plate3_data.txt",NA,25.4636,19.20765,NA,0.00664680374315313,0.590080608900173,0,2,2,0,0.015804921416111,FALSE,0.015804921416111,39,NA,"D",-4.14743390541733,-16.6111407886174,-4.14743004103545,4.00516479464721,-1.8012076591812,-7.21412678261458,-1.80120598090147,"FALSE"
"307","KI16bFMD068","820","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag820","recovery1","NO","2/2/2017","30.253","18.511","344.435","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","n","y","FALSE","large area on top is bleached, 3cm scale used; DC edited 2 to 1","","KI2016b","KI16bFMD068","KIPlaty_plate3_data.txt",38.28695,22.7989,18.46005,1.03909341495363,0.0173948268171887,0.428577420077167,2,2,2,2.59752249209833e-07,0.059689363184857,FALSE,0.0596896229371062,68,NA,"D",-2.81859709384103,-14.9523587529325,-2.8186004223293,5.30488771465372,-1.2241011645637,-6.49372689783636,-1.22410261010779,"FALSE"
"308","KI16bFMD038","824","coral","KI2016b","Platygyra_sp","5","alive","KI2016b.tag824","recovery1","NO","2/2/2017","17.736","16.719","224.749","n","n","n","y","y","y","Peysson_red","y","y","n","n","FALSE","3cm scale used","","KI2016b","KI16bFMD038","KIPlaty_plate11_data.txt",NA,23.95735,18.30075,NA,0.220122340983372,0.886358350217337,0,2,2,0,0.0239449904803998,FALSE,0.0239449904803998,38,NA,"D",-3.73199614274873,-16.6111407886174,-3.73199359205688,4.45100999743739,-1.62078533127999,-7.21412678261458,-1.6207842235286,"FALSE"
"309","KI16bFMD182","850","coral","KI2016b","Platygyra_sp","34","alive","KI2016b.tag850","recovery1","NO","25-01-2017","17.122","15.978","205.794","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","small area around edge and possible small area on top","","KI2016b","KI16bFMD182","KIPlaty_plate9_data.txt",32.3333,22.66995,17.6054,5.61782195517088,0.302995255738435,0.308722820666046,2,2,2,8.90248528950525e-06,0.0360943709740466,FALSE,0.0361032734593361,182,NA,"D",-3.32137174021033,-11.6223429033211,-3.32161666236959,3.49900186706971,-1.44245341912275,-5.04751938969975,-1.44255978746501,"FALSE"
"310","KI16bFMD178","857","coral","KI2016b","Platygyra_sp","34","alive","KI2016b.tag857","recovery1","NO","25-01-2017","36.985","24.244","350.162","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","","","KI2016b","KI16bFMD178","KIPlaty_plate9_data.txt",37.57435,22.98555,17.6918,2.50591572184701,0.0724784450716205,0.23603224356007,2,2,2,2.49923444377566e-07,0.0307923902823942,FALSE,0.0307926402058386,178,NA,"D",-3.48047957191264,-14.9834735216241,-3.48048570479544,4.30499498991756,-1.51155307245865,-6.50723987018481,-1.51155573593581,"FALSE"
"311","KI16bFMD160","906","coral","KI2016b","Platygyra_sp","8","alive","KI2016b.tag906","recovery1","NO","17-01-2017","42.657","39.873","1042.675","n","n","n","y","y","y","Halimeda, Peysson_red","y","y","n","y","FALSE","a few small patches less than 5cm","","KI2016b","KI16bFMD160","KIPlaty_plate8_data.txt",39.22355,22.51905,17.9863,0.353058415846442,0.187454007692551,0.0144249783362071,2,2,2,9.77240961743122e-08,0.0521827820715846,FALSE,0.0521828797956808,160,NA,"D",-2.95300081115136,-15.6556173525312,-2.95300151344566,5.3015947608722,-1.28247195733886,-6.79914822699309,-1.2824722623414,"FALSE"
"312","KI16bFMD165","909","coral","KI2016b","Platygyra_sp","8","alive","KI2016b.tag909","recovery1","JL","11/1/2017","23.581","21.526","336.408","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","a few small spots less than 5cm, one bleached patch around algal patch ","","KI2016b","KI16bFMD165","KIPlaty_plate8_data.txt",32.7039,22.61545,17.7934,NA,0.197212081272928,0.131804704013174,1,2,2,0,0.0427011185640006,FALSE,0.0427011185640006,165,NA,"D",-3.15353016321243,-16.6111407886174,-3.15352873289097,5.2674772280858,-1.36956074839862,-7.21412678261458,-1.3695601272179,"FALSE"
"313","KI16bFMD156","919","coral","KI2016b","Platygyra_sp","8","alive","KI2016b.tag919","recovery1","NO","20-01-2017","30.644","24.73","405.428","n","n","n","y","y","y","Peysson_red, peysson_yellow","Y","Y","N","N","FALSE","","","KI2016b","KI16bFMD156","KIPlaty_plate5_data.txt",31.9469,23.52005,17.70815,3.09953186465311,0.655417275481811,0.0953887047820665,2,2,2,1.24956855301405e-05,0.0215012995843905,FALSE,0.0215137952699206,156,NA,"D",-3.83906090915032,-11.2852512406614,-3.83963905930403,2.93914377532845,-1.66728296853447,-4.90112234071108,-1.66753405595593,"FALSE"
"314","KI16bFMD003","925","coral","KI2016b","Platygyra_sp","35","alive","KI2016b.tag925","recovery1","NO","19/01/2017","25.513","24.511","475.15","n","n","n","y","y","y","Halimeda","y","y","n","y","FALSE","two small areas","","KI2016b","KI16bFMD003","KIPlaty_plate2_data.txt",NA,22.48945,18.47,NA,0.0187383297014451,0.341108311244392,0,2,2,0,0.0744810732584484,FALSE,0.0744810732584484,3,NA,"D",-2.59721023609502,-16.6111407886174,-2.59720941606998,6.39576488743558,-1.12795407387871,-7.21412678261458,-1.12795371774636,"FALSE"
"315","KI16bFMD006","933","coral","KI2016b","Platygyra_sp","35","alive","KI2016b.tag933","recovery1","NO","25-01-2017","25.919","25.458","432.995","n","n","n","y","y","y","Halimeda","n","y","n","y","FALSE","one spot of bleaching, possible bleaching along top dome","","KI2016b","KI16bFMD006","KIPlaty_plate1_data.txt",NA,25.1842,18.4327,NA,0.132370389438122,0.0313955410846824,0,2,2,0,0.0112102920372431,FALSE,0.0112102920372431,6,NA,"D",-4.49092299074382,-16.6111407886174,-4.4909175425179,3.69883005674251,-1.95038307353249,-7.21412678261458,-1.95038070739804,"FALSE"
"316","KI16bFMD074","1005","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1005","recovery1","NO","19/01/2017","23.432","21.394","238.698","n","n","y","y","y","y","Peysson_red","y","y","n","n","FALSE","","","KI2016b","KI16bFMD074","KIPlaty_plate10_data.txt",38.9679,24.3955,19.90575,NA,0.0315369624409194,0.0869034234078251,1,2,2,0,0.0537615175401447,FALSE,0.0537615175401447,74,NA,"D",-2.92319735511236,-16.6111407886174,-2.92319621905188,5.68252677680499,-1.26952848083948,-7.21412678261458,-1.26952798745468,"FALSE"
"317","KI16bFMD079","1011","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1011","recovery1","NO","2/3/2017","16.002","13.666","176.008","n","n","n","y","y","y","Peysson_red","y","y","n","n","FALSE"," 3cm scale used","","KI2016b","KI16bFMD079","KIPlaty_plate2_data.txt",NA,23.462,18.52215,NA,0.015132085117392,0.170342023587839,0,2,2,0,0.0393530065743341,FALSE,0.0393530065743341,79,NA,"D",-3.23518290108239,-16.6111407886174,-3.23518134907079,5.13453157529747,-1.40502208188783,-7.21412678261458,-1.40502140785776,"FALSE"
"319","KI16bFMD86","1017","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1017","recovery1","NO","25-01-2017","28.475","23.807","486.289","n","n","n","y","y","y","Peysson_red","y","y","n","n","FALSE","","","KI2016b","KI16bFMD086","KIPlaty_plate4_data.txt",NA,23.77835,18.78855,NA,0.023122391744799,0.0663973267534178,0,2,2,0,0.0380138161382119,FALSE,0.0380138161382119,86,NA,"D",-3.26980560275136,-16.6111407886174,-3.26980399606392,5.08016407363052,-1.42005853017125,-7.21412678261458,-1.42005783239576,"FALSE"
"320","KI16bFMD084","1020","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1020","recovery1","NO","1/2/2017","44.104","34.567","1052.926","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","2.54cm scale used. one area of bleaching over 5cm; DC edited 2 to 1","","KI2016b","KI16bFMD084","KIPlaty_plate13_data.txt",33.6909,24.3832,17.9277,3.81187123602044,0.273791745675431,0.0353553390593279,2,2,2,4.343650865477e-06,0.0137632755612323,FALSE,0.0137676192120977,84,NA,"D",-4.28543587791486,-12.332832222065,-4.28574698767461,2.87763889411414,-1.86114115432864,-5.35608098028144,-1.86127626758057,"FALSE"
"321","KI16bFMD083","1022","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1022","recovery1","NO","25-01-2017","23.69","20.089","313.805","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","small area bleaching","","KI2016b","KI16bFMD083","KIPlaty_plate4_data.txt",32.25315,24.09365,18.80985,4.9966286478985,0.121551655685968,0.00926309883354479,2,2,2,2.16877449445244e-05,0.0310054937072211,FALSE,0.0310271814521657,83,NA,"D",-3.4728916376424,-10.7359509943337,-3.47358890398153,3.09073735870927,-1.50825767447604,-4.66256427482286,-1.50856049339954,"FALSE"
"322","KI16bFMD080","1023","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1023","recovery1","NO","2/3/2017","21.99","15.651","229.368","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","3cm scale used; 1 bleaching spot","","KI2016b","KI16bFMD080","KIPlaty_plate2_data.txt",NA,23.0314,17.8004,NA,0.0233345237791544,0.100550584284729,0,2,2,0,0.0321612585087454,FALSE,0.0321612585087454,80,NA,"D",-3.43699270270242,-16.6111407886174,-3.43699080363768,4.83304778442711,-1.4926669651254,-7.21412678261458,-1.49266614037207,"FALSE"
"323","KI16bFMD081","1024","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1024","recovery1","NO","23-03-2017","16.518","3.222","22.306","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","Estimated measurements because of overhang, 3cm scale used","","KI2016b","KI16bFMD081","KIPlaty_plate4_data.txt",38.7679,23.69355,18.57705,NA,0.0259508188695461,0.0738926586339953,1,2,2,0,0.034817771386365,FALSE,0.034817771386365,81,NA,"D",-3.35762735052831,-16.6111407886174,-3.35762559635755,4.94728799025052,-1.45819903062188,-7.21412678261458,-1.4581982687952,"FALSE"
"324","KI16bFMD094","1028","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1028","recovery1","NO","25-01-2017","30.343","23.967","540.136","n","n","y","y","y","n","NONE","y","y","n","n","FALSE","","","KI2016b","KI16bFMD094","KIPlaty_plate3_data.txt",30.9109,24.02885,18.5527,NA,0.241476965775206,0.0339411254969531,1,2,2,0,0.0271353564870496,FALSE,0.0271353564870496,94,NA,"D",-3.60691773401669,-16.6111407886174,-3.60691548321518,4.60535902931952,-1.56646446856243,-7.21412678261458,-1.56646349105175,"FALSE"
"325","KI16bFMD096","1031","coral","KI2016b","Platygyra_sp","37","alive","KI2016b.tag1031","recovery1","NO","25-01-2017","24.26","21.129","400.082","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","small edge of bleaching","","KI2016b","KI16bFMD096","KIPlaty_plate3_data.txt",28.9943,22.79145,18.5209,NA,0.101469823100269,0.2134048265621,1,2,2,0,0.0625831320576705,FALSE,0.0625831320576705,96,NA,"D",-2.77125949313362,-16.6111407886174,-2.77125851721026,5.99407838909931,-1.20354270578993,-7.21412678261458,-1.2035422819518,"FALSE"
"326","KI16bFMD140","1036","coral","KI2016b","Platygyra_sp","40","alive","KI2016b.tag1036","recovery1","NO","20-01-2017","27.238","24.906","512.024","n","n","n","y","y","y","peysson_brown, peysson_yellow","y","n","n","y","FALSE","several patches of bleaching","","KI2016b","KI16bFMD140","KIPlaty_plate8_data.txt",NA,22.90065,17.59175,NA,0.116460486861424,0.215596857583778,0,2,2,0,0.0304707257405579,FALSE,0.0304707257405579,140,NA,"D",-3.49098886806804,-16.6111407886174,-3.49098686364224,4.75829369672465,-1.51611720178763,-7.21412678261458,-1.51611633127656,"FALSE"
"327","KI16bFMD152","1049","coral","KI2016b","Platygyra_sp","40","alive","KI2016b.tag1049","recovery1","NO","25-01-2017","25.442","14.94","243.67","n","n","n","y","y","y","Peysson_red, peysson_yellow","y","y","n","n","FALSE","","","KI2016b","KI16bFMD152","KIPlaty_plate9_data.txt",34.8749,23.16725,18.02155,2.48265190874597,0.0327390439689362,0.270751186516329,2,2,2,2.04026725952639e-06,0.0341201469946677,FALSE,0.0341221872619272,152,NA,"D",-3.37780745343301,-13.0729335942507,-3.37786545816396,3.87017593097286,-1.46696313795763,-5.67750292227074,-1.46698832909221,"FALSE"
"328","KI16bFMD131","1055","coral","KI2016b","Platygyra_sp","40","alive","KI2016b.tag1055","recovery1","NO","25-01-2017","26.356","21.716","430.98","n","n","n","y","y","y","Peysson_red","n","y","y","n","FALSE","","","KI2016b","KI16bFMD131","KIPlaty_plate8_data.txt",29.6036,23.5348,17.89615,NA,0.107197388027882,0.133006785541191,1,2,2,0,0.0242447749484598,FALSE,0.0242447749484598,131,NA,"D",-3.71955415085768,-16.6111407886174,-3.71955163170487,4.46589869785022,-1.61538184285783,-7.21412678261458,-1.61538074880366,"FALSE"
"330","KI17aFL101","62","coral","KI2017a","Platygyra_sp","8","alive","KI2017a.tag62","recovery2","NO","8/9/2017","32.722","31.356","777.952","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","one small spot","","KI2017a","KI17aFMD101","KIPlaty_plate9_data.txt",39.9852,23.6884,19.4179,NA,0.0694378859125204,0.638658844767688,1,2,2,0,0.0625853010613328,FALSE,0.0625853010613328,101,NA,"D",-2.77122483577459,-16.6111407886174,-2.77122385988506,5.99415335190799,-1.20352765429015,-7.21412678261458,-1.20352723046671,"FALSE"
"331","KI17aFL010","99","coral","KI2017a","Platygyra_sp","35","alive","KI2017a.tag99","recovery2","NO","18-09-2017","24.042","22.317","393.783","n","n","n","y","y","y","Peysson_red, peysson_yellow","y","y","n","y","FALSE","corallites bleaching in a few spots","","KI2017a","KI17aFMD010","KIPlaty_plate6_data.txt",NA,22.5072,17.94175,NA,0.242961890015697,0.323642773749082,0,2,2,0,0.051013315266327,FALSE,0.051013315266327,10,NA,"D",-2.97566859668075,-16.6111407886174,-2.97566739941817,5.58232441967991,-1.29231645151124,-7.21412678261458,-1.29231593154671,"FALSE"
"332","KI17aFL065","157","coral","KI2017a","Platygyra_sp","3","alive","KI2017a.tag157","recovery2","NO","2/10/2017","29.935","26.881","608.357","n","n","y","y","y","n","NONE","y","y","n","y","FALSE","small area bleaching","","KI2017a","KI17aFMD065","KIPlaty_plate6_data.txt",33.16835,24.1501,18.96155,4.36758645535495,0.558472935781137,0.126359981798035,2,2,2,1.27755026226914e-05,0.0331216343327268,FALSE,0.0331344098353495,65,NA,"D",-3.40718296451502,-11.2632117287932,-3.40756676088705,3.30535320923872,-1.47972076032364,-4.89155070232287,-1.47988744097018,"FALSE"
"334","KI17aFL072","223","coral","KI2017a","Platygyra_sp","3","alive","KI2017a.tag223","recovery2","NO","7/9/2017","29.172","25.715","250.519","n","n","n","y","y","y","Caulerpa, Peysson_red","y","y","n","y","FALSE","two small areas of bleaching, other areas of lightening","","KI2017a","KI17aFMD072","KIPlaty_plate8_data.txt",35.9986,26.03665,17.17675,1.34859405307898,0.128764144854072,0.293802867583009,2,2,2,5.21326154862368e-07,0.00259971226798984,FALSE,0.0026002335941447,72,NA,"D",-5.95215399408861,-14.3561040048014,-5.9523310130009,2.41184570774798,-2.58498763507109,-6.23477675091443,-2.58506451340788,"FALSE"
"335","KI17aFL228","328","coral","KI2017a","Platygyra_sp","34","alive","KI2017a.tag328","recovery2","NO","14-09-2017","20.664","14.224","256.557","n","n","n","y","y","y","Peysson_red","y","y","n","y","FALSE","several small areas of bleaching and lightening","","KI2017a","KI17aFMD228","KIPlaty_plate8_data.txt",38.4367,25.55225,16.618,NA,0.377807153187974,0.072549155749739,1,2,2,0,0.00246912856296247,FALSE,0.00246912856296247,228,NA,"D",-6.00388999911103,-16.6111407886174,-6.00386526341459,2.76674110091041,-2.60745629656804,-7.21412678261458,-2.60744555399157,"FALSE"
"336","KI17aFL052","379","coral","KI2017a","Platygyra_sp","25","alive","KI2017a.tag379","recovery2","NO","2/10/2017","22.732","16.36","55.144","n","n","n","y","y","y","Peysson_brown","y","y","y","y","FALSE","several bleached patches","","KI2017a","KI17aFMD052","KIPlaty_plate9_data.txt",NA,22.50205,17.70645,NA,0.0931259630822698,0.0651245345472825,0,2,2,0,0.0434912104342633,FALSE,0.0434912104342633,52,NA,"D",-3.13519642028662,-16.6111407886174,-3.13519501594936,5.29827991691529,-1.36159850501331,-7.21412678261458,-1.36159789511739,"FALSE"
"340","KI17aFL222","783","coral","KI2017a","Platygyra_sp","34","alive","KI2017a.tag783","recovery2","NO","14-09-2017","27.708","21.591","399.167","n","n","n","y","y","y","Caulerpa","y","y","n","y","FALSE","Several small spots of bleaching","","KI2017a","KI17aFMD222","KIPlaty_plate9_data.txt",35.7961,22.807,17.89225,NA,0.0407293505963457,0.242184072556393,1,2,2,0,0.0400436605314148,FALSE,0.0400436605314148,222,NA,"D",-3.21778490685033,-16.6111407886174,-3.21778338160707,5.16229305041698,-1.39746622899667,-7.21412678261458,-1.39746556659194,"FALSE"
"341","KI17aFL017","788","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag788","recovery2","NO","7/9/2017","16.643","14.603","311.37","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","3cm scale used, several small spots of bleaching","","KI2017a","KI17aFMD017","KIPlaty_plate8_data.txt",37.8065,23.03895,18.0572,1.57034273965908,0.0980757105505742,0.283832661968279,2,2,2,2.74106443338319e-07,0.0382265198263657,FALSE,0.0382267939328091,17,NA,"D",-3.26421859739029,-14.90858974251,-3.26422417020049,4.56726896351433,-1.41763212457258,-6.47471825813153,-1.41763454481329,"FALSE"
"342","KI17aFL019","792","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag792","recovery2","NO","7/9/2017","29.682","26.761","589.986","n","n","n","y","y","y","Caulerpa","y","y","n","y","FALSE","3cm scale used, several small spots of bleaching","","KI2017a","KI17aFMD019","KIPlaty_plate8_data.txt",34.68525,23.35905,17.9751,7.09362451818533,0.0372645273685321,0.0664680374315338,2,2,2,2.25317309033873e-06,0.0289261408804208,FALSE,0.0289283940535111,19,NA,"D",-3.54293167299322,-12.9764251301897,-3.54300745251196,3.66254525402974,-1.53867567534121,-5.63558982887207,-1.53870858596804,"FALSE"
"343","KI17aFL020","797","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag797","recovery2","NO","7/9/2017","19.525","17.428","134.401","n","n","n","y","y","y","Halimeda","y","y","n","y","FALSE","several bleached patches","","KI2017a","KI17aFMD020","KIPlaty_plate8_data.txt",NA,22.6015,18.3337,NA,0.0582655987697714,0.189080353289284,0,2,2,0,0.0627025389597572,FALSE,0.0627025389597572,20,NA,"D",-2.76935333838708,-16.6111407886174,-2.76935236432221,5.99820412982475,-1.20271487330186,-7.21412678261458,-1.20271445027086,"FALSE"
"344","KI17aFL022","807","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag807","recovery2","NO","7/9/2017","59.424","45.15","2107.969","n","n","n","y","y","y","Halimeda, Caulerpa","y","y","n","n","FALSE","","","KI2017a","KI17aFMD022","KIPlaty_plate10_data.txt",38.9278,23.2194,18.65595,NA,0.00014142135623698,0.491368502246532,1,2,2,0,0.0510840837792842,FALSE,0.0510840837792842,22,NA,"D",-2.97428230231963,-16.6111407886174,-2.97428110671566,5.58492630407764,-1.29171439151991,-7.21412678261458,-1.29171387227571,"FALSE"
"345","KI17aFL026","813","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag813","recovery2","NO","7/9/2017","17.744","16.057","228.738","n","n","n","y","y","y","Halimeda, Caulerpa","y","y","n","y","FALSE","small area bleaching","","KI2017a","KI17aFMD026","KIPlaty_plate10_data.txt",NA,22.5233,17.28615,NA,0.0292742207411227,0.217293913858627,0,2,2,0,0.0320244515232975,FALSE,0.0320244515232975,26,NA,"D",-3.44125555786286,-16.6111407886174,-3.44125365068541,4.82706085478729,-1.49451829959874,-7.21412678261458,-1.4945174713221,"FALSE"
"346","KI17aFL027","820","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag820","recovery2","NO","8/9/2017","33.427","29.923","694.86","n","n","n","y","y","y","Halimeda","y","y","n","y","FALSE","one bleached spot","","KI2017a","KI17aFMD027","KIPlaty_plate9_data.txt",32.16205,22.76735,17.71955,6.0045386538018,0.420516402771639,0.649760421232316,2,2,2,1.08498872594656e-05,0.036515876541638,FALSE,0.0365267264288975,27,NA,"D",-3.30971105541527,-11.4257424366792,-3.31000646662757,3.45187918871966,-1.43738924806104,-4.96213689189758,-1.43751754352043,"FALSE"
"347","KI17aFL034","824","coral","KI2017a","Platygyra_sp","5","alive","KI2017a.tag824","recovery2","NO","8/9/2017","23.485","2.895","399.13","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","one small patch","","KI2017a","KI17aFMD034","KIPlaty_plate8_data.txt",32.7882,23.92755,18.43235,3.9371705576467,0.511733177544705,0.0914289068074211,2,2,2,1.15215119497676e-05,0.0267794041760718,FALSE,0.0267909256880216,34,NA,"D",-3.61969204253166,-11.366007594408,-3.62011990708719,3.13967710631807,-1.57201228026061,-4.93619437952183,-1.57219809947608,"FALSE"
