#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site
KI15bFSYM131	KI15bFSYM131_MERGED-MAX-MISMATCH-3	389	coral	2015May	131	Platygyra_sp	30
KI15bFSYM132	KI15bFSYM132_MERGED-MAX-MISMATCH-3	388	coral	2015May	132	Favia_sp	30
KI15bFSYM138	KI15bFSYM138_MERGED-MAX-MISMATCH-3	470	coral	2015May	138	Platygyra_sp	27
KI15bFSYM140	KI15bFSYM140_MERGED-MAX-MISMATCH-3	466	coral	2015May	140	Platygyra_sp	27
KI15bFSYM147	KI15bFSYM147_MERGED-MAX-MISMATCH-3	685	coral	2015May	147	Favites_pentagona	27
KI15bFSYM164	KI15bFSYM164_MERGED-MAX-MISMATCH-3	253	coral	2015May	164	Platygyra_sp	8
KI15bFSYM167	KI15bFSYM167_MERGED-MAX-MISMATCH-3	62	coral	2015May	167	Platygyra_sp	8
KI15bFSYM179	KI15bFSYM179_MERGED-MAX-MISMATCH-3	696	coral	2015May	179	Platygyra_sp	8
KI15bFSYM184	KI15bFSYM184_MERGED-MAX-MISMATCH-3	719	coral	2015May	184	Favites_pentagona	8
KI15bFSYM187	KI15bFSYM187_MERGED-MAX-MISMATCH-3	487	coral	2015May	187	Favites_pentagona	32
KI15bFSYM188	KI15bFSYM188_MERGED-MAX-MISMATCH-3	486	coral	2015May	188	Platygyra_sp	32
KI15bFSYM191	KI15bFSYM191_MERGED-MAX-MISMATCH-3	492	coral	2015May	191	Favites_pentagona	32
KI15bFSYM194	KI15bFSYM194_MERGED-MAX-MISMATCH-3	497_745	coral	2015May	194	Favites_pentagona	32
KI15bFSYM197	KI15bFSYM197_MERGED-MAX-MISMATCH-3	271	coral	2015May	197	Favites_pentagona	27
KI15bFSYM200	KI15bFSYM200_MERGED-MAX-MISMATCH-3	722	coral	2015May	200	Favites_pentagona	27
KI15bFSYM204	KI15bFSYM204_MERGED-MAX-MISMATCH-3	726	coral	2015May	204	Favites_pentagona	27
KI15bFSYM205	KI15bFSYM205_MERGED-MAX-MISMATCH-3	727	coral	2015May	205	Platygyra_sp	27
KI15bFSYM207	KI15bFSYM207_MERGED-MAX-MISMATCH-3	729	coral	2015May	207	Favites_pentagona	27
KI15bFSYM213	KI15bFSYM213_MERGED-MAX-MISMATCH-3	735	coral	2015May	213	Platygyra_sp	27
KI15bFSYM214	KI15bFSYM214_MERGED-MAX-MISMATCH-3	736	coral	2015May	214	Favites_pentagona	27
KI15bFSYM216	KI15bFSYM216_MERGED-MAX-MISMATCH-3	482	coral	2015May	216	Favites_pentagona	32
KI15bFSYM218	KI15bFSYM218_MERGED-MAX-MISMATCH-3	741	coral	2015May	218	Favia_sp	32
KI15bFSYM219	KI15bFSYM219_MERGED-MAX-MISMATCH-3	742	coral	2015May	219	Platygyra_sp	32
KI15bFSYM231	KI15bFSYM231_MERGED-MAX-MISMATCH-3	754	coral	2015May	231	Platygyra_sp	32
KI15bFSYM239	KI15bFSYM239_MERGED-MAX-MISMATCH-3	762	coral	2015May	239	Platygyra_sp	32
KI15bFSYM243	KI15bFSYM243_MERGED-MAX-MISMATCH-3	766	coral	2015May	243	Platygyra_sp	32
KI15bFSYM245	KI15bFSYM245_MERGED-MAX-MISMATCH-3	768	coral	2015May	245	Platygyra_sp	32
KI15bFSYM247	KI15bFSYM247_MERGED-MAX-MISMATCH-3	770	coral	2015May	247	Favites_pentagona	32
KI15bFSYM249	KI15bFSYM249_MERGED-MAX-MISMATCH-3	772	coral	2015May	249	Favites_pentagona	32
KI15bFSYM255	KI15bFSYM255_MERGED-MAX-MISMATCH-3	328	coral	2015May	255	Platygyra_sp	34
KI15bFSYM259	KI15bFSYM259_MERGED-MAX-MISMATCH-3	339	coral	2015May	259	Favia_sp	34
KI15bFSYM263	KI15bFSYM263_MERGED-MAX-MISMATCH-3	353	coral	2015May	263	Platygyra_sp	34
KI15bFSYM277	KI15bFSYM277_MERGED-MAX-MISMATCH-3	781	coral	2015May	277	Favites_pentagona	34
KI15bFSYM279	KI15bFSYM279_MERGED-MAX-MISMATCH-3	783	coral	2015May	279	Platygyra_sp	34
KI15bFSYM282	KI15bFSYM282_MERGED-MAX-MISMATCH-3	786	coral	2015May	282	Favites_pentagona	34
KI15bFSYM283	KI15bFSYM283_MERGED-MAX-MISMATCH-3	787	coral	2015May	283	Favia_sp	5
KI15bFSYM284	KI15bFSYM284_MERGED-MAX-MISMATCH-3	788	coral	2015May	284	Platygyra_sp	5
KI15bFSYM288	KI15bFSYM288_MERGED-MAX-MISMATCH-3	792	coral	2015May	288	Platygyra_sp	5
KI15bFSYM293	KI15bFSYM293_MERGED-MAX-MISMATCH-3	797	coral	2015May	293	Platygyra_sp	5
