"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"253","349","349","coral","Hydnophora microconos",34,"KI14FSYM349",NA,"KI15bFSYM262",NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"255","351","351","coral","Platygyra sp",34,"KI14FSYM351",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"256","352","352","coral","Favites pentagona",34,"KI14FSYM352",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"257","353","353","coral","Platygyra sp",34,"KI14FSYM353",NA,"KI15bFSYM263","KI15cFSYM496",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"260","367","367","coral","Favia sp",25,"KI14FSYM367",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"261","370","370","coral","Hydnophora microconos",25,"KI14FSYM370",NA,NA,"KI15cFSYM398",NA,NA,NA,"alive","Yes","Yes","No","No"
"263","371","371","coral","Platygyra sp",25,"KI14FSYM371",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"264","373","373","coral","Favites pentagona",25,"KI14FSYM373",NA,NA,"KI15cFSYM399",NA,NA,NA,"UK","Yes","Yes","No","No"
"266","376","376","coral","Favites halicora",25,"KI14FSYM376",NA,NA,"KI15cFSYM402",NA,NA,NA,"dead","Yes","Yes","No","No"
"268","379","379","coral","Platygyra sp",25,"KI14FSYM379",NA,NA,"KI15cFSYM404",NA,NA,"KI17FSYM52","alive","Yes","Yes","No","Yes"
"271","381","381","coral","Hydnophora microconos",25,"KI14FSYM381",NA,NA,"KI15cFSYM405",NA,NA,NA,"alive","Yes","Yes","No","No"
"273","382","382","coral","Favia sp",25,"KI14FSYM382",NA,NA,"KI15cFSYM407",NA,NA,NA,"dead","Yes","Yes","No","No"
"275","386","386","coral","Favites pentagona",30,"KI14FSYM386","KI15aFSYM145","KI15bFSYM057","KI15cFSYM336","KI16aFSYM082","KI16bFSYM124","KI17FSYM177","alive","Yes","Yes","Yes","Yes"
"282","388","388","coral","Favia sp",30,"KI14FSYM388",NA,"KI15bFSYM132","KI15cFSYM338","KI16aFSYM083","KI16bFSYM125",NA,"alive","Yes","Yes","Yes","Yes"
"287","389","389","coral","Platygyra sp",30,"KI14FSYM389",NA,"KI15bFSYM131",NA,NA,NA,NA,"UK","Yes","No","No","No"
"289","395","395","coral","Favia matthaii",25,NA,NA,NA,"KI15cFSYM409",NA,NA,NA,"gone_after","No","Yes","No","No"
"290","398","398_894","coral","Hydnophora microconos",25,"KI14FSYM398",NA,NA,"KI15cFSYM429",NA,NA,NA,"dead","Yes","Yes","No","No"
"292","400","400","coral","Favites pentagona",25,"KI14FSYM400",NA,NA,"KI15cFSYM411",NA,NA,"KI17FSYM54","alive","Yes","Yes","No","Yes"
"296","402","402","coral","Platygyra sp",25,"KI14FSYM402",NA,NA,"KI15cFSYM415",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"298","404","404","coral","Favia matthaii",25,"KI14FSYM404",NA,NA,"KI15cFSYM414",NA,NA,NA,"dead","Yes","Yes","No","No"
"300","406","406","coral","Hydnophora microconos",25,"KI14FSYM406",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"301","408","408","coral","Favites halicora",25,"KI14FSYM408",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"302","410","410","coral","Platygyra sp",25,"KI14FSYM410",NA,NA,"KI15cFSYM428",NA,NA,NA,"UK","Yes","Yes","No","No"
"304","411","411","coral","Hydnophora microconos",25,"KI14FSYM411",NA,NA,"KI15cFSYM426",NA,NA,NA,"dead","Yes","Yes","No","No"
"306","412","412","coral","Favites pentagona",25,"KI14FSYM412",NA,NA,"KI15cFSYM427",NA,NA,NA,"UK","Yes","Yes","No","No"
"308","415","415","coral","Favia matthaii",25,"KI14FSYM415",NA,NA,NA,NA,NA,"KI17FSYM56","alive","Yes","No","No","Yes"
